chemical name,ACA_class,mol_weight,hydrophobicity,TPSA,complexity,volume,inh_Bac1,inh_Bac2,inh_Bac3,inh_Bac4,inh_Bac5,inh_Bac6,inh_Bac7,inh_Bac8,inh_Bac9,inh_Bac10,inh_Bac11,inh_Bac12,inh_Bac13,inh_Bac14,inh_Bac15,inh_Bac16,inh_Bac17,inh_Bac18,inh_Bac19,inh_Bac20,inh_Bac21,inh_Bac22,inh_Bac23,inh_Bac24,inh_Bac25,inh_Bac26,inh_Bac27,inh_Bac28,inh_Bac29,inh_Bac30,inh_Bac31,inh_Bac32,inh_Bac33,inh_Bac34,inh_Bac35,inh_Bac36,inh_Bac37,inh_Bac38,inh_Bac39,inh_Bac40
(-) -Levobunolol hydrochloride,S01ED03,291.3853,2.4,58.6,350,235.8,0.426660454,0.43333177,0.704624731,0.989091325,0.513211374,0.995506051,0.927433647,0.661686409,0.899850593,0.247522175,0.526902086,0.414031309,0.056590335,1,0.559868447,0.423462594,0.326963471,1,0.078414219,0.675706275,0.120167258,0.325179462,0.689531287,0.474723428,1,0.833309965,0.697061308,1,0.543652867,0.789840101,0.480648424,1,0.415863706,1,0.562058522,1,0.837753533,0.902031339,0.945711116,0.133779884
(-)-Emtricitabine,J05AF09,247.246703,-0.6,113,374,170.5,0.419708351,0.458192305,1,0.815174682,0.320454341,0.876250492,0.991409898,1,0.339129949,0.416453251,0.535812073,1,0.049435367,0.471685564,0.312854319,0.564683872,0.678462483,0.126140442,0.264827839,1,0.692892389,0.605316341,0.983291771,0.744085591,0.937717102,1,1,1,0.614768942,0.971398651,1,1,0.329425057,1,0.943779622,0.706790958,0.724572303,1,0.939909033,0.423599017
(-)-Eseroline fumarate salt,N02AX,218.29482,0.8,26.7,296,176.3,1,1,0.783808955,0.904602115,1,0.652383247,0.658173102,0.076487498,1,1,1,0.421544342,1,1,1,0.721669939,1,1,1,0.214451717,0.924472897,0.333743617,0.888872183,0.869208999,1,1,0.665437563,1,1,1,1,0.443377407,1,0.972661106,1,0.936138518,1,1,1,1
(-)-Isoproterenol hydrochloride,C01CA02 R03AB02 R03CB01,211.25758,-0.6,72.7,187,167.9,1,1,1,1,1,0.934707552,1,1,0.916054412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.577312696,1,1,1,1,1,0.704010425,1,1,1,0.874770679,1,1
(-)-MK 801 hydrogen maleate,N04BC,221.297,2.8,12,313,182.2,0.757235407,0.388251992,1,0.699447681,0.730004149,0.864944806,0.784472143,0.882095169,0.917497436,0.349938873,0.445524134,1,0.357900696,0.775878555,0.447532294,0.982094187,0.828867655,0.616284179,0.537369764,0.970664603,0.697061308,0.464363776,0.115918742,0.432797747,1,0.459812828,0.633777683,1,0.388251992,1,0.30190414,0.97930219,0.927509553,0.882818445,0.94978999,0.905565405,0.665602185,0.550418722,0.875254525,0.310419133
(+) -Levobunolol hydrochloride,S01ED03,291.3853,2.4,58.6,350,235.8,0.33567993,0.554527426,0.883029564,1,0.804862742,0.817336262,1,0.799094311,0.730063783,0.394073873,0.743341605,1,0.366758474,0.860289166,0.665134863,0.540854238,0.517061552,1,0.209271406,1,0.222888353,0.351700964,0.888242584,0.277595084,0.821091083,0.849178724,1,1,0.809969581,1,0.561951675,0.9650343,0.512902264,0.799512117,0.860675147,0.948902661,0.927633906,0.56440214,0.731283087,0.200566428
(+)-Isoproterenol (+)-bitartrate salt,C01CA02 R03AB02 R03CB01,211.25758,-0.6,72.7,187,167.9,1,1,1,1,1,1,1,1,0.48831204,1,1,1,1,0.29472219,1,1,1,0.895890063,1,1,1,0.967453662,1,1,1,0.765774327,1,0.51133355,0.938347389,1,0.980276039,1,1,1,0.30179422,0.638381539,1,1,0.91282922,1
"(+,-)-Octopamine hydrochloride",C01CA18,153.17844,-1.1,66.5,111,121.6,1,1,0.84555883,0.612637481,0.230794957,1,0.488457924,0.972884939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3282324,0.853980898,1,1,0.513782321,0.226999871,1,1,0.490785225,1,0.970395269,1,1,1,1,0.169802336,1,1
"(+,-)-Synephrine",C01CA08 S01GA06,167.20502,-0.6,52.5,122,135.3,1,1,0.94361374,1,1,1,0.948407258,0.689711477,1,1,1,0.673404131,1,0.558913241,1,0.917762875,1,1,1,0.182412364,1,1,1,0.4584398,1,0.542621983,0.878566046,0.931418451,1,1,0.864278183,0.807527302,0.70916085,1,1,0.097812703,0.992708086,1,1,1
(R) -Naproxen sodium salt,G02CC02 M01AE02 M02AA12,229.25122,4,49.4,271,183,1,1,1,1,1,1,0.940197004,1,1,1,1,0.982148436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.054028082,1,1,1,1,1,1,1,1,1,1,1,1
(R)-(+)-Atenolol,C07AB03 C07AB11,266.33608,0.2,84.6,263,214.2,1,1,1,1,1,1,1,1,0.524844749,1,1,0.28499564,0.320960743,0.61397569,1,1,1,1,1,1,1,1,0.496161608,1,1,1,1,0.639775943,1,0.966774276,0.960032108,0.826048252,1,0.609364549,1,0.848317051,1,1,0.54367209,1
(R)-Propranolol hydrochloride,C07AA05,259.34344,3,41.5,257,214.2,0.647160913,1,1,1,1,1,1,1,1,1,1,1,1,0.583970341,1,1,1,1,1,1,1,0.808546516,1,1,1,0.854684712,1,1,1,1,1,0.972661106,1,1,0.343098959,1,1,1,0.852233206,1
(S)-(-)-Atenolol,C07AB03 C07AB11,266.33608,0.2,84.6,263,214.2,0.985653339,0.832307499,1,1,0.989669226,1,1,0.993382947,0.580800815,0.747433105,0.940957717,0.560459614,1,0.759703024,0.967453662,0.84732961,0.845774033,0.902590898,0.437484619,0.854684712,0.406176762,0.250911628,1,0.686832508,1,0.962042799,0.925663222,0.976184733,1,1,0.807509932,1,1,1,0.656575487,1,1,0.28162628,1,0.758771215
(S)-(-)-Cycloserine,J04AB01,102.09194,-1.5,64.4,92,74.2,1,0.5707879,1,1,1,1,1,1,1,1,1,8.79E-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875254525,1,1,1,1,1,1,0.756019919,1,1,1
(S)-propranolol hydrochloride,C07AA05,259.34344,3,41.5,257,214.2,1,1,1,1,1,1,1,1,1,1,1,0.904810859,1,1,0.640322526,1,1,1,1,1,1,1,0.966212691,1,1,0.917277375,1,1,1,0.99493872,1,1,1,0.911310733,0.773759493,1,1,1,1,1
2-Aminobenzenesulfonamide,J01EB,172.20492,0.2,94.6,219,122,0.950577677,0.74686073,1,1,0.739292535,0.821083803,0.991409898,0.984688381,0.615171569,0.373271198,0.390818101,1,0.17102685,0.132103706,0.913529295,1,0.413642939,0.669154706,0.621003035,1,0.755467222,0.526885589,1,1,0.968985873,0.685046907,1,1,0.625916475,0.698812671,1,1,0.752933742,0.853424417,0.600084181,0.926013463,0.712365221,0.828630912,1,0.416479745
2-Chloropyrazine,-,114.53302,0.7,25.8,57,81.5,1,1,1,1,1,1,1,1,1,1,1,0.914345087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.525398705,1,1,1,1,0.965991603,1,1,1,1,0.851421803,1,1
3-alpha-Hydroxy-5-beta-androstan-17-one,A14AA,290.4403,3.7,37.3,459,,0.528101109,0.060816668,0.540771198,0.181326368,0.110337003,0.516558098,0.538273431,0.662431757,0.283525957,0.399224664,0.44828074,0.571789855,0.408286652,0.508612613,0.46251503,0.655881658,0.702617934,0.086756494,0.172350615,1,0.414938355,1,0.540991567,0.156253584,1,1,0.132837446,0.23974957,0.207881835,0.783221432,0.922163427,0.59784623,0.31231147,0.798524141,0.702617934,0.598248417,0.4131083,0.896475714,0.375992044,0.036661691
4-aminosalicylic acid,J04AA01 J04AA02,153.13538,1.3,83.6,160,113.6,1,1,1,1,1,1,1,1,1,1,1,0.875403013,1,1,1,1,1,0.169744464,1,1,1,1,1,1,1,1,1,1,1,0.980137443,1,1,1,1,1,1,1,1,0.876989509,1
5-fluorouracil,L01BC02,130.077223,-0.9,58.2,199,87.4,1,1.73E-05,0.000699998,6.96E-06,5.04E-06,0.002546255,0.313599608,1.39E-05,4.93E-07,5.04E-06,0.629446905,3.21E-06,0.988946446,0.000661825,2.71E-05,0.000100844,0.000491757,0.537369764,1,0.007454688,0.346416542,0.002535612,6.41E-05,0.002511467,1,0.005029022,5.85E-06,9.03E-06,5.04E-06,4.85E-05,0.002584087,0.542183189,2.27E-05,0.001979002,0.274349724,0.038378471,0.012033067,0.256361964,0.625478115,5.04E-06
6-Furfurylaminopurine,-,215.21136,1,79.6,239,159.3,1,0.965250538,0.328621706,1,0.883064079,1,0.992183977,1,1,1,1,1,1,1,0.918036883,0.9148267,1,1,1,0.276009066,1,0.845774033,0.16746667,0.487918407,1,0.284787277,1,0.604265252,1,1,0.950308257,1,1,0.813107917,0.690072286,0.378219958,0.899570719,0.896657681,1,1
Abacavir Sulfate,J05AF06,286.33232,0.9,102,414,216.4,0.960517712,1,1,1,1,0.882514335,1,1,1,1,1,1,1,0.379206575,1,1,1,0.711589228,1,0.164603849,0.138294924,0.920597811,1,1,0.86503088,1,1,0.863399453,0.753956383,1,1,0.773334984,1,1,0.672110334,1,0.000584373,1,0.837921534,0.987082021
Acamprosate calcium,N07BB03,181.21014,-1.2,91.8,215,129,1,1,0.732863048,0.728778028,1,1,0.687610796,0.881907056,0.418447831,1,1,0.478505902,1,1,1,0.481998787,0.680806471,1,1,1,1,1,0.872871458,0.421133605,0.917633146,1,0.95380714,1,1,0.902295003,0.304946406,1,0.882220975,1,1,1,0.633371647,0.948407258,1,1
Acarbose,A10BF01,645.60482,-8.5,321,962,441.4,0.967226336,1,0.000422533,0.018173527,0.791913784,0.019552689,0.001158548,0.000656515,0.000404149,1,1,0.713132735,1,1,1,0.000436959,1,1,1,0.430671969,1,1,1,0.651859884,1,0.000460108,0.632516435,1,1,1,0.98443214,0.955772891,0.37536633,0.020952389,0.682599266,0.15673318,1,1,0.609920412,1
Acebutolol hydrochloride,C07AB04,336.42592,1.7,87.7,401,271.9,1,1,0.337691045,0.48774332,1,0.904377131,0.257415029,0.128898176,1,1,1,1,1,1,1,0.715754489,1,0.844993605,1,1,1,1,0.335829842,0.349865607,1,1,0.233894845,0.350689967,1,0.815275913,0.730063783,1,0.724644381,0.684825057,1,1,1,0.442139888,0.319601971,1
Aceclidine Hydrochloride,S01EB08,169.2209,0.7,29.5,185,128,1,1,0.709480355,1,1,1,1,1,1,1,1,0.889878639,1,1,1,1,1,0.662500579,1,1,1,1,1,0.215469143,1,1,0.874347986,0.593682728,1,0.83643417,1,1,1,1,1,0.888212215,1,1,0.884387103,1
Aceclofenac,M01AB16 M02AA25,354.18472,4.3,75.6,411,255.1,0.587027431,1,1,1,0.714520002,0.970664603,0.855298523,1,0.535712997,1,0.675842798,1,0.054434329,0.95610126,0.667424446,1,1,1,1,0.715391449,0.687403305,1,1,1,0.414908932,1,0.062852053,1,0.79862387,0.958582063,1,0.64899352,0.913279707,1,0.454625539,0.488828041,1,1,0.293635974,1
Acefylline,R03DA09,238.2001,-0.8,95.7,385,170.3,0.746251199,0.195940302,1,1,0.253206437,0.685312003,1,0.77853884,0.715754489,0.536301984,0.406449511,0.895265981,0.408559234,0.641747696,0.660272796,1,1,0.326113621,0.118214127,1,0.587732001,0.30928383,0.457509338,0.830834227,1,0.855204498,1,0.568361249,0.633777683,1,1,1,0.347259237,1,0.076293802,0.974257689,0.62703688,0.832442846,0.372609688,0.467848394
Acemetacin,M01AB11,415.82372,4.2,94.8,620,308.3,0.75380984,0.770708706,1,0.609297623,0.920315807,0.642452767,0.232056439,0.969049377,0.784495361,1,1,1,0.652226389,0.767551007,0.446327591,1,1,0.861326145,1,1,1,0.808749775,0.845516298,0.954459851,1,1,0.619922784,1,0.698319765,1,1,0.923754587,1,0.904361354,0.268201091,1,1,0.335397554,0.847459969,0.991392826
Acenocoumarol,B01AA07,352.31756,3.2,112,614,265.1,0.481475856,1,0.949946543,0.943267545,0.349597344,1,0.311962002,0.610547032,1,0.69295259,0.755047848,1,8.21E-06,0.643160865,0.347229835,0.598910603,1,1,0.071703148,0.482560078,0.063128732,0.639775943,0.556521642,0.810315702,0.372677216,0.257770843,1,1,0.04291597,0.62551765,0.58500217,0.462775245,0.971938359,0.991409898,0.006136303,0.673721058,0.821734573,0.672107584,1,0.44200085
